,SLV,GLD,PLT
SLV,1.0,0.8095128415388019,-0.4705577953316607
GLD,0.8095128415388019,1.0,-0.8153512125996409
PLT,-0.4705577953316607,-0.8153512125996409,1.0
Raw_SD,2.946985946974992,21.282894351815646,17.54877040955341
Scaled_SD,0.10914762766574043,0.10976788085415772,0.22066263428791266
Raw_Growth,0.5684803178675866,0.4947773679270628,-0.4602498722379201
Growth_With_Divs,0.5684803178675866,0.4947773679270628,-0.4272843423248262
Total_Dividends,0.0,0.0,1.7999999999999996
Divs_First_Rel,0.0,0.0,0.03296552991309383
Divs_Last_Rel,0.0,0.0,0.06107553887902909
